id,reason_name,weight
1,Manually reported question,93
3,Bad keyword in body,97
7,Email in answer,74
9,Korean character in title,98
10,Bad keyword in title,98
11,Pattern-matching website in answer,79
15,Link at end of body,99
16,Manually reported answer,95
18,Offensive title detected,55
20,Repeating characters in body,69
21,Pattern-matching website in title,100
22,Blacklisted website in body,99
23,Few unique characters in answer,88
25,Bad keyword in answer,86
27,Email in body,36
28,Repeating words in answer,89
30,URL in title,96
31,Offensive body detected,44
32,Repeating words in body,46
33,Offensive answer detected,80
35,Pattern-matching website in body,98
44,Blacklisted website in answer,91
46,Bad keyword in username,92
47,Phone number detected in title,68
48,Blacklisted user,68
49,Few unique characters in body,92
51,Url-only title,99
52,Repeating characters in answer,83
57,Repeating characters in title,66
58,Email in title,73
59,Chinese character in title,89
60,Title has only one unique char,94
61,Blacklisted website in title,100
62,Numbers-only title,49
64,Repeating words in title,83
66,Hindi character in title,55
70,Non-latin link in answer,87
72,Shortened url in answer,56
73,Link at end of answer,61
77,Link following arrow in body,98
79,Link following arrow in title,100
80,Bad keyword with email in answer,86
81,Bad keyword with email in body,67
82,Bad keyword with email in title,95
83,Phone number detected in answer,93
84,English text in answer on a localized site,0
85,Phone number detected in body,96
88,Mostly non-latin answer,55
89,Blacklisted username,93
90,Mostly non-latin title,88
91,Mostly non-latin body,83
93,Messaging number in body,87
94,Messaging number in title,100
95,Linked punctuation in answer,57
97,Shortened url in body,38
98,Bad keyword with a link in answer,77
99,Messaging number in answer,87
100,No whitespace in answer,96
101,Bad keyword in link text in answer,78
102,Bad keyword in link text in body,64
103,No whitespace in body,97
106,Repeated url at end of long post,100
113,Link inside deeply nested blockquotes,100
115,Username similar to website in answer,51
118,Pattern-matching product name in body,99
119,Pattern-matching product name in title,100
121,Mostly dots in body,47
122,Mostly dots in title,69
123,Mostly dots in answer,38
124,Bad pattern in url body,95
125,Bad pattern in url answer,67
127,Potentially bad keyword in body,1
128,Potentially bad keyword in title,1
129,Potentially bad keyword in answer,1
130,Potentially bad keyword in username,1
133,Pattern-matching email in answer,99
134,Pattern-matching email in body,71
135,Bad ns for domain in body,98
136,Bad ns for domain in title,100
137,Bad ns for domain in answer,74
139,Misleading link,10
142,Title starts and ends with a forward slash,100
143,Luncheon meat detected,48
144,Toxic body detected,68
145,Toxic answer detected,84
146,Potentially bad ns for domain in body,1
147,Potentially bad ns for domain in title,1
148,Potentially bad ns for domain in answer,1
150,Body starts with title and ends in url,97
153,Mostly punctuation marks in title,0
154,Mostly punctuation marks in answer,50
155,Mostly punctuation marks in body,27
156,No whitespace in title,78
